onset	duration	trial_type	value	sample
4.948	0.0	T1	1	1237
5.044	0.0	T2	2	1261
5.144	0.0	T3	3	1286
5.244	0.0	T4	4	1311
5.344	0.0	T5	5	1336
5.444	0.0	T6	6	1361
5.544	0.0	T7	7	1386
5.644	0.0	T8	8	1411
5.744	0.0	T9	9	1436
5.844	0.0	T10	10	1461
5.948	0.0	T1	1	1487
6.044	0.0	T2	2	1511
6.144	0.0	T3	3	1536
6.244	0.0	T4	4	1561
6.348	0.0	T5	5	1587
6.444	0.0	T6	6	1611
6.544	0.0	T7	7	1636
6.644	0.0	T8	8	1661
6.748	0.0	T9	9	1687
6.848	0.0	T10	10	1712
6.948	0.0	T1	1	1737
7.044	0.0	T2	2	1761
7.148	0.0	T3	3	1787
7.248	0.0	T4	4	1812
7.348	0.0	T5	5	1837
7.448	0.0	T6	6	1862
7.548	0.0	T7	7	1887
7.648	0.0	T8	8	1912
7.748	0.0	T9	9	1937
7.848	0.0	T10	10	1962
7.948	0.0	T1	1	1987
8.048	0.0	T2	2	2012
8.148	0.0	T3	3	2037
8.248	0.0	T4	4	2062
8.348	0.0	T5	5	2087
8.448	0.0	T6	6	2112
8.548	0.0	T7	7	2137
8.648	0.0	T8	8	2162
8.748	0.0	T9	9	2187
8.848	0.0	T10	10	2212
8.948	0.0	T1	1	2237
9.048	0.0	T2	2	2262
9.148	0.0	T3	3	2287
9.248	0.0	T4	4	2312
9.348	0.0	T5	5	2337
9.448	0.0	T6	6	2362
9.548	0.0	T7	7	2387
9.648	0.0	T8	8	2412
9.748	0.0	T9	9	2437
9.848	0.0	T10	10	2462
9.948	0.0	T1	1	2487
10.048	0.0	T2	2	2512
10.148	0.0	T3	3	2537
10.248	0.0	T4	4	2562
10.348	0.0	T5	5	2587
10.448	0.0	T6	6	2612
10.548	0.0	T7	7	2637
10.648	0.0	T8	8	2662
10.748	0.0	T9	9	2687
10.848	0.0	T10	10	2712
10.948	0.0	T1	1	2737
11.048	0.0	T2	2	2762
11.148	0.0	T3	3	2787
11.248	0.0	T4	4	2812
11.348	0.0	T5	5	2837
11.448	0.0	T6	6	2862
11.548	0.0	T7	7	2887
11.648	0.0	T8	8	2912
11.748	0.0	T9	9	2937
11.848	0.0	T10	10	2962
11.948	0.0	T1	1	2987
12.048	0.0	T2	2	3012
12.148	0.0	T3	3	3037
12.248	0.0	T4	4	3062
12.348	0.0	T5	5	3087
12.448	0.0	T6	6	3112
12.548	0.0	T7	7	3137
12.648	0.0	T8	8	3162
12.748	0.0	T9	9	3187
12.848	0.0	T10	10	3212
12.948	0.0	T1	1	3237
13.048	0.0	T2	2	3262
13.148	0.0	T3	3	3287
13.248	0.0	T4	4	3312
13.348	0.0	T5	5	3337
13.448	0.0	T6	6	3362
13.548	0.0	T7	7	3387
13.648	0.0	T8	8	3412
13.748	0.0	T9	9	3437
13.848	0.0	T10	10	3462
13.948	0.0	T1	1	3487
14.048	0.0	T2	2	3512
14.148	0.0	T3	3	3537
14.248	0.0	T4	4	3562
14.348	0.0	T5	5	3587
14.448	0.0	T6	6	3612
14.548	0.0	T7	7	3637
14.648	0.0	T8	8	3662
14.748	0.0	T9	9	3687
14.848	0.0	T10	10	3712
14.948	0.0	T1	1	3737
15.048	0.0	T2	2	3762
15.148	0.0	T3	3	3787
15.248	0.0	T4	4	3812
15.348	0.0	T5	5	3837
15.448	0.0	T6	6	3862
15.548	0.0	T7	7	3887
15.648	0.0	T8	8	3912
15.748	0.0	T9	9	3937
15.848	0.0	T10	10	3962
15.948	0.0	T1	1	3987
16.048	0.0	T2	2	4012
16.148	0.0	T3	3	4037
16.248	0.0	T4	4	4062
16.348	0.0	T5	5	4087
16.448	0.0	T6	6	4112
16.548	0.0	T7	7	4137
16.648	0.0	T8	8	4162
16.748	0.0	T9	9	4187
16.848	0.0	T10	10	4212
16.948	0.0	T1	1	4237
17.048	0.0	T2	2	4262
17.148	0.0	T3	3	4287
17.248	0.0	T4	4	4312
17.348	0.0	T5	5	4337
17.452	0.0	T6	6	4363
17.548	0.0	T7	7	4387
17.648	0.0	T8	8	4412
17.748	0.0	T9	9	4437
17.848	0.0	T10	10	4462
17.948	0.0	T1	1	4487
18.048	0.0	T2	2	4512
18.148	0.0	T3	3	4537
18.248	0.0	T4	4	4562
18.352	0.0	T5	5	4588
18.448	0.0	T6	6	4612
18.548	0.0	T7	7	4637
18.648	0.0	T8	8	4662
18.748	0.0	T9	9	4687
18.848	0.0	T10	10	4712
18.948	0.0	T1	1	4737
19.052	0.0	T2	2	4763
19.148	0.0	T3	3	4787
19.248	0.0	T4	4	4812
19.348	0.0	T5	5	4837
19.452	0.0	T6	6	4863
19.552	0.0	T7	7	4888
19.652	0.0	T8	8	4913
19.752	0.0	T9	9	4938
19.852	0.0	T10	10	4963
19.952	0.0	T1	1	4988
20.052	0.0	T2	2	5013
20.152	0.0	T3	3	5038
20.252	0.0	T4	4	5063
20.352	0.0	T5	5	5088
20.452	0.0	T6	6	5113
20.552	0.0	T7	7	5138
20.652	0.0	T8	8	5163
20.752	0.0	T9	9	5188
20.852	0.0	T10	10	5213
20.952	0.0	T1	1	5238
21.052	0.0	T2	2	5263
21.152	0.0	T3	3	5288
21.252	0.0	T4	4	5313
21.352	0.0	T5	5	5338
21.452	0.0	T6	6	5363
21.552	0.0	T7	7	5388
21.652	0.0	T8	8	5413
21.752	0.0	T9	9	5438
21.852	0.0	T10	10	5463
21.952	0.0	T1	1	5488
22.052	0.0	T2	2	5513
22.152	0.0	T3	3	5538
22.252	0.0	T4	4	5563
22.352	0.0	T5	5	5588
22.452	0.0	T6	6	5613
22.552	0.0	T7	7	5638
22.652	0.0	T8	8	5663
22.752	0.0	T9	9	5688
22.852	0.0	T10	10	5713
22.952	0.0	T1	1	5738
23.052	0.0	T2	2	5763
23.152	0.0	T3	3	5788
23.252	0.0	T4	4	5813
23.352	0.0	T5	5	5838
23.452	0.0	T6	6	5863
23.552	0.0	T7	7	5888
23.652	0.0	T8	8	5913
23.752	0.0	T9	9	5938
23.852	0.0	T10	10	5963
23.952	0.0	T1	1	5988
24.052	0.0	T2	2	6013
24.152	0.0	T3	3	6038
24.256	0.0	T4	4	6064
